resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Cybersecurity Analyst with 7 years of experience in Cybersecurity, FastAPI, NLP and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Cybersecurity, FastAPI, NLP, Pandas. Experience with team collaboration preferred.",0.47,low,low,21,20
"Java Developer with 9 years of experience in TensorFlow, SQL, React and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: TensorFlow, SQL, React, NLP. Experience with team collaboration preferred.",0.89,high,high,22,20
"Frontend Developer with 2 years of experience in Linux, C++, Kubernetes and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, C++, Kubernetes, Java. Experience with team collaboration preferred.",0.93,high,high,21,20
"Data Analyst with 1 years of experience in Git, NLP, Java and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Git, NLP, Java, AWS. Experience with team collaboration preferred.",0.8,medium,medium,21,20
"Full Stack Developer with 7 years of experience in Git, Kubernetes, NLP and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Kubernetes, NLP, TensorFlow. Experience with team collaboration preferred.",0.87,high,high,22,21
"FRONTEND DEVELOPER WITH 10 YEARS OF EXPERIENCE IN GIT, POWER BI, REACT AND SQL. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Frontend Developer at a growing company. Required skills: Git, Power BI, React, Kubernetes. Experience with team collaboration preferred.",0.82,medium,medium,22,21
"DEVOPS ENGINEER WITH 9 YEARS OF EXPERIENCE IN LEADERSHIP, MACHINE LEARNING, PANDAS AND COMMUNICATION. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: Leadership, Machine Learning, Pandas, TensorFlow. Experience with team collaboration preferred.",0.69,medium,medium,22,21
"Full Stack Developer with 7 years of experience in Pandas, Cybersecurity, Communication and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Pandas, Cybersecurity, Communication, NLP. Experience with team collaboration preferred.",0.71,medium,medium,22,21
"Healthcare Analyst with 8 years of experience in Java, SQL, Python and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Java, SQL, Python, FastAPI. Experience with team collaboration preferred.",0.73,medium,medium,21,20
"Data Analyst with 9 years of experience in FastAPI, Power BI, React and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: FastAPI, Power BI, React, Power BI. Experience with team collaboration preferred.",0.68,medium,medium,22,22
"Sales Manager with 3 years of experience in Leadership, FastAPI, SQL and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Leadership, FastAPI, SQL, Docker. Experience with team collaboration preferred.",0.71,medium,medium,21,20
"Product Manager with 1 years of experience in AWS, Cybersecurity, C++ and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: AWS, Cybersecurity, C++, Pandas. Experience with team collaboration preferred.",0.48,low,low,21,20
"Cybersecurity Analyst with 10 years of experience in Node.js, NLP, Communication and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Node.js, NLP, Communication, Communication. Experience with team collaboration preferred.",0.47,low,low,21,20
"Frontend Developer with 5 years of experience in TensorFlow, Communication, Docker and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: TensorFlow, Communication, Docker, Java. Experience with team collaboration preferred.",0.63,low,low,21,20
"BACKEND DEVELOPER WITH 5 YEARS OF EXPERIENCE IN KUBERNETES, GIT, AWS AND JAVA. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Backend Developer at a growing company. Required skills: Kubernetes, Git, AWS, TensorFlow. Experience with team collaboration preferred.",0.56,low,low,21,20
"DevOps Engineer with 9 years of experience in React, TensorFlow, AWS and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: React, TensorFlow, AWS, Linux. Experience with team collaboration preferred.",0.79,medium,medium,21,20
"Frontend Developer with 5 years of experience in C++, Java, Machine Learning and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: C++, Java, Machine Learning, Node.js. Experience with team collaboration preferred.",0.59,low,low,22,21
"Data Analyst with 3 years of experience in Power BI, FastAPI, Leadership and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Power BI, FastAPI, Leadership, Python. Experience with team collaboration preferred.",0.51,low,low,22,21
"Java Developer with 1 years of experience in AWS, Git, Docker and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: AWS, Git, Docker, Leadership. Experience with team collaboration preferred.",0.64,low,low,21,20
"Data Analyst with 3 years of experience in Machine Learning, Node.js, Java and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Machine Learning, Node.js, Java, Cybersecurity. Experience with team collaboration preferred.",0.46,low,low,22,21
"ML Engineer with 8 years of experience in Python, Communication, Linux and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Python, Communication, Linux, Git. Experience with team collaboration preferred.",0.81,medium,medium,21,20
"Full Stack Developer with 7 years of experience in SQL, C++, FastAPI and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: SQL, C++, FastAPI, FastAPI. Experience with team collaboration preferred.",0.55,low,low,22,21
"UI/UX Designer with 8 years of experience in AWS, Leadership, Kubernetes and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: AWS, Leadership, Kubernetes, Node.js. Experience with team collaboration preferred.",0.54,low,low,21,20
"DEVOPS ENGINEER WITH 5 YEARS OF EXPERIENCE IN SQL, MACHINE LEARNING, DOCKER AND PYTHON. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: SQL, Machine Learning, Docker, Leadership. Experience with team collaboration preferred.",0.68,medium,medium,22,21
"Full Stack Developer with 2 years of experience in Pandas, AWS, Docker and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Pandas, AWS, Docker, C++. Experience with team collaboration preferred.",0.9,high,high,22,21
"Backend Developer with 8 years of experience in SQL, Machine Learning, Linux and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: SQL, Machine Learning, Linux, Communication. Experience with team collaboration preferred.",0.69,medium,medium,22,21
"UI/UX Designer with 8 years of experience in Node.js, NLP, Docker and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Node.js, NLP, Docker, AWS. Experience with team collaboration preferred.",0.51,high,high,21,20
"Healthcare Analyst with 10 years of experience in NLP, Linux, Git and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: NLP, Linux, Git, FastAPI. Experience with team collaboration preferred.",0.82,medium,medium,21,20
"Cloud Engineer with 10 years of experience in SQL, Cybersecurity, Git and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: SQL, Cybersecurity, Git, NLP. Experience with team collaboration preferred.",0.91,high,high,22,20
"Healthcare Analyst with 9 years of experience in Cybersecurity, Power BI, AWS and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Cybersecurity, Power BI, AWS, AWS. Experience with team collaboration preferred.",0.82,medium,medium,22,21
"DevOps Engineer with 8 years of experience in Communication, Pandas, Node.js and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Communication, Pandas, Node.js, AWS. Experience with team collaboration preferred.",0.56,low,low,22,20
"Java Developer with 7 years of experience in FastAPI, C++, Leadership and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: FastAPI, C++, Leadership, Kubernetes. Experience with team collaboration preferred.",0.61,low,low,21,20
"Python Developer with 9 years of experience in Cybersecurity, Python, SQL and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: Cybersecurity, Python, SQL, Node.js. Experience with team collaboration preferred.",0.86,high,high,21,20
"Business Analyst with 7 years of experience in Git, Machine Learning, Power BI and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Git, Machine Learning, Power BI, Power BI. Experience with team collaboration preferred.",0.93,high,high,23,23
"DevOps Engineer with 5 years of experience in React, AWS, Linux and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: React, AWS, Linux, Communication. Experience with team collaboration preferred.",0.69,medium,medium,21,20
"Healthcare Analyst with 7 years of experience in TensorFlow, NLP, Pandas and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: TensorFlow, NLP, Pandas, C++. Experience with team collaboration preferred.",0.85,high,high,21,20
"Full Stack Developer with 10 years of experience in Java, NLP, Communication and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Java, NLP, Communication, Machine Learning. Experience with team collaboration preferred.",0.75,medium,medium,22,22
"ML Engineer with 9 years of experience in Kubernetes, Leadership, SQL and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Kubernetes, Leadership, SQL, Git. Experience with team collaboration preferred.",0.83,medium,medium,22,20
"CYBERSECURITY ANALYST WITH 8 YEARS OF EXPERIENCE IN NODE.JS, DOCKER, NLP AND TENSORFLOW. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cybersecurity Analyst at a growing company. Required skills: Node.js, Docker, NLP, Docker. Experience with team collaboration preferred.",0.66,medium,medium,21,20
"Product Manager with 1 years of experience in Docker, Leadership, Java and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Docker, Leadership, Java, NLP. Experience with team collaboration preferred.",0.56,low,low,21,20
"Backend Developer with 7 years of experience in Linux, Pandas, Leadership and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Linux, Pandas, Leadership, Cybersecurity. Experience with team collaboration preferred.",0.88,high,high,21,20
"Product Manager with 10 years of experience in React, Machine Learning, Node.js and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: React, Machine Learning, Node.js, Docker. Experience with team collaboration preferred.",0.74,medium,medium,22,21
"Cybersecurity Analyst with 1 years of experience in FastAPI, Python, React and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: FastAPI, Python, React, Linux. Experience with team collaboration preferred.",0.76,medium,medium,21,20
"Data Analyst with 1 years of experience in Java, Cybersecurity, Leadership and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Java, Cybersecurity, Leadership, Node.js. Experience with team collaboration preferred.",0.6,low,low,21,20
"CYBERSECURITY ANALYST WITH 3 YEARS OF EXPERIENCE IN NLP, AWS, NODE.JS AND POWER BI. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cybersecurity Analyst at a growing company. Required skills: NLP, AWS, Node.js, NLP. Experience with team collaboration preferred.",0.67,medium,medium,22,20
"Frontend Developer with 1 years of experience in Linux, Communication, NLP and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, Communication, NLP, C++. Experience with team collaboration preferred.",0.96,high,high,21,20
"Full Stack Developer with 5 years of experience in TensorFlow, SQL, Git and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: TensorFlow, SQL, Git, FastAPI. Experience with team collaboration preferred.",0.62,low,low,22,21
"Cloud Engineer with 9 years of experience in Kubernetes, NLP, Linux and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Kubernetes, NLP, Linux, Communication. Experience with team collaboration preferred.",0.68,medium,medium,21,20
"Cybersecurity Analyst with 10 years of experience in Power BI, NLP, Communication and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Power BI, NLP, Communication, Java. Experience with team collaboration preferred.",0.47,low,low,22,21
"DevOps Engineer with 8 years of experience in AWS, Kubernetes, Power BI and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: AWS, Kubernetes, Power BI, C++. Experience with team collaboration preferred.",0.91,medium,medium,22,21
"Backend Developer with 7 years of experience in Docker, Python, Java and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Docker, Python, Java, Python. Experience with team collaboration preferred.",0.91,high,high,21,20
"UI/UX Designer with 9 years of experience in Node.js, Docker, Linux and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Node.js, Docker, Linux, React. Experience with team collaboration preferred.",0.71,medium,medium,22,20
"Data Analyst with 9 years of experience in Cybersecurity, Git, Pandas and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Cybersecurity, Git, Pandas, Linux. Experience with team collaboration preferred.",0.54,low,low,21,20
"Python Developer with 3 years of experience in SQL, React, NLP and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: SQL, React, NLP, C++. Experience with team collaboration preferred.",0.56,low,low,21,20
"Product Manager with 8 years of experience in Git, Machine Learning, Linux and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Git, Machine Learning, Linux, Power BI. Experience with team collaboration preferred.",0.94,high,high,22,22
"Data Analyst with 3 years of experience in Python, Git, Docker and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Python, Git, Docker, AWS. Experience with team collaboration preferred.",0.62,low,low,21,20
"ML Engineer with 7 years of experience in FastAPI, Python, Cybersecurity and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: FastAPI, Python, Cybersecurity, NLP. Experience with team collaboration preferred.",0.52,low,low,21,20
"DevOps Engineer with 9 years of experience in Communication, Kubernetes, Linux and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Communication, Kubernetes, Linux, NLP. Experience with team collaboration preferred.",0.67,medium,medium,21,20
"Full Stack Developer with 8 years of experience in Git, Machine Learning, SQL and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Machine Learning, SQL, Leadership. Experience with team collaboration preferred.",0.51,low,low,23,22
"Business Analyst with 1 years of experience in Machine Learning, NLP, React and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Machine Learning, NLP, React, Cybersecurity. Experience with team collaboration preferred.",0.87,high,high,22,21
"Data Analyst with 7 years of experience in C++, Leadership, Kubernetes and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: C++, Leadership, Kubernetes, Kubernetes. Experience with team collaboration preferred.",0.63,low,low,22,20
"Cloud Engineer with 9 years of experience in Linux, SQL, Java and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Linux, SQL, Java, C++. Experience with team collaboration preferred.",0.65,medium,medium,21,20
"Cloud Engineer with 2 years of experience in Power BI, Git, AWS and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Power BI, Git, AWS, Machine Learning. Experience with team collaboration preferred.",0.7,medium,medium,22,22
"AI Engineer with 2 years of experience in Linux, Leadership, SQL and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Linux, Leadership, SQL, Cybersecurity. Experience with team collaboration preferred.",0.89,high,high,21,20
"ML Engineer with 2 years of experience in FastAPI, Power BI, Cybersecurity and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: FastAPI, Power BI, Cybersecurity, Node.js. Experience with team collaboration preferred.",0.75,medium,medium,22,21
"Data Analyst with 4 years of experience in Node.js, React, C++ and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Node.js, React, C++, Python. Experience with team collaboration preferred.",0.86,high,high,22,20
"ML Engineer with 6 years of experience in SQL, Pandas, Docker and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: SQL, Pandas, Docker, AWS. Experience with team collaboration preferred.",0.74,medium,medium,21,20
"Frontend Developer with 4 years of experience in Leadership, Docker, AWS and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Leadership, Docker, AWS, Linux. Experience with team collaboration preferred.",0.78,medium,medium,21,20
"DEVOPS ENGINEER WITH 5 YEARS OF EXPERIENCE IN C++, POWER BI, LEADERSHIP AND JAVA. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: C++, Power BI, Leadership, SQL. Experience with team collaboration preferred.",0.73,medium,medium,22,21
"Cloud Engineer with 4 years of experience in Linux, Communication, Kubernetes and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Linux, Communication, Kubernetes, React. Experience with team collaboration preferred.",0.59,low,low,21,20
"ML Engineer with 2 years of experience in Node.js, Power BI, Kubernetes and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Node.js, Power BI, Kubernetes, Machine Learning. Experience with team collaboration preferred.",0.94,high,high,22,22
"AI Engineer with 5 years of experience in AWS, Communication, Node.js and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: AWS, Communication, Node.js, C++. Experience with team collaboration preferred.",0.87,high,high,21,20
"Sales Manager with 6 years of experience in FastAPI, Communication, Power BI and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: FastAPI, Communication, Power BI, FastAPI. Experience with team collaboration preferred.",0.89,high,high,22,21
"DEVOPS ENGINEER WITH 9 YEARS OF EXPERIENCE IN COMMUNICATION, LINUX, POWER BI AND PANDAS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: Communication, Linux, Power BI, Cybersecurity. Experience with team collaboration preferred.",0.61,low,low,22,21
"PYTHON DEVELOPER WITH 2 YEARS OF EXPERIENCE IN PYTHON, POWER BI, AWS AND C++. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: Python, Power BI, AWS, AWS. Experience with team collaboration preferred.",0.47,low,low,22,21
"Business Analyst with 3 years of experience in Pandas, Cybersecurity, Leadership and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Pandas, Cybersecurity, Leadership, Python. Experience with team collaboration preferred.",0.74,medium,medium,21,20
"Cloud Engineer with 8 years of experience in Java, FastAPI, Kubernetes and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Java, FastAPI, Kubernetes, FastAPI. Experience with team collaboration preferred.",0.85,high,high,21,20
"UI/UX Designer with 2 years of experience in Pandas, Linux, Java and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Pandas, Linux, Java, Java. Experience with team collaboration preferred.",0.8,medium,medium,21,20
"DEVOPS ENGINEER WITH 10 YEARS OF EXPERIENCE IN FASTAPI, MACHINE LEARNING, GIT AND JAVA. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: FastAPI, Machine Learning, Git, React. Experience with team collaboration preferred.",0.92,high,high,22,21
"Full Stack Developer with 9 years of experience in Power BI, Machine Learning, Docker and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Power BI, Machine Learning, Docker, Communication. Experience with team collaboration preferred.",0.85,high,high,24,23
"Java Developer with 3 years of experience in Docker, Python, Git and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Docker, Python, Git, Python. Experience with team collaboration preferred.",0.49,low,low,21,20
"BACKEND DEVELOPER WITH 5 YEARS OF EXPERIENCE IN LINUX, C++, DOCKER AND AWS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Backend Developer at a growing company. Required skills: Linux, C++, Docker, C++. Experience with team collaboration preferred.",0.51,low,low,21,20
"Java Developer with 9 years of experience in Power BI, C++, Linux and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Power BI, C++, Linux, C++. Experience with team collaboration preferred.",0.69,medium,medium,22,21
"Full Stack Developer with 3 years of experience in Cybersecurity, Node.js, Git and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Cybersecurity, Node.js, Git, Java. Experience with team collaboration preferred.",0.56,low,low,22,21
"ML Engineer with 7 years of experience in Java, Communication, Leadership and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Java, Communication, Leadership, Java. Experience with team collaboration preferred.",0.86,high,high,21,20
"Backend Developer with 5 years of experience in NLP, Docker, React and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: NLP, Docker, React, AWS. Experience with team collaboration preferred.",0.83,medium,medium,21,20
"Product Manager with 9 years of experience in Cybersecurity, Python, TensorFlow and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Cybersecurity, Python, TensorFlow, Docker. Experience with team collaboration preferred.",0.6,low,low,21,20
"ML Engineer with 5 years of experience in Cybersecurity, AWS, Leadership and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Cybersecurity, AWS, Leadership, Communication. Experience with team collaboration preferred.",0.93,high,high,21,20
"Java Developer with 5 years of experience in Communication, FastAPI, SQL and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Communication, FastAPI, SQL, Power BI. Experience with team collaboration preferred.",0.89,high,high,21,21
"Data Analyst with 8 years of experience in Power BI, FastAPI, Git and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Power BI, FastAPI, Git, Linux. Experience with team collaboration preferred.",0.68,medium,medium,22,21
"Data Analyst with 5 years of experience in AWS, TensorFlow, Pandas and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: AWS, TensorFlow, Pandas, Python. Experience with team collaboration preferred.",0.54,low,low,21,20
"Business Analyst with 2 years of experience in TensorFlow, SQL, Machine Learning and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: TensorFlow, SQL, Machine Learning, FastAPI. Experience with team collaboration preferred.",0.94,high,high,22,21
"UI/UX Designer with 9 years of experience in Leadership, Communication, AWS and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Leadership, Communication, AWS, Communication. Experience with team collaboration preferred.",0.64,low,low,22,20
"Healthcare Analyst with 4 years of experience in Java, C++, Machine Learning and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Java, C++, Machine Learning, Machine Learning. Experience with team collaboration preferred.",0.9,high,high,22,22
"Backend Developer with 5 years of experience in Machine Learning, Cybersecurity, TensorFlow and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Machine Learning, Cybersecurity, TensorFlow, Node.js. Experience with team collaboration preferred.",0.85,high,high,22,21
"Cybersecurity Analyst with 10 years of experience in Python, Power BI, Git and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Python, Power BI, Git, Machine Learning. Experience with team collaboration preferred.",0.52,low,low,22,22
